current_status_date,sponsor_role,link,display_number,party,title
2007-12-26,"{'website': 'http://www.house.gov/lowey', 'description': ""Representative for New York's 18th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NY', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 2040, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400246, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 18, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr2764,H.R. 2764,Democrat,"H.R. 2764 (110th): Consolidated Appropriations Act, 2008"
2008-09-30,"{'website': 'http://oberstar.house.gov', 'description': ""Representative for Minnesota's 8th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MN', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 2484, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400299, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 8, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr6984,H.R. 6984,Democrat,"H.R. 6984 (110th): Federal Aviation Administration Extension Act of 2008, Part II"
2007-12-26,"{'website': 'http://www.house.gov/sullivan', 'description': ""Representative for Oklahoma's 1st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OK', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3344, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400392, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 1, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr366,H.R. 366,Republican,"H.R. 366 (110th): To designate the Department of Veterans Affairs Outpatient Clinic in Tulsa, Oklahoma, as the “Ernest Childers Department of Veterans Affairs Outpatient Clinic”."
2008-10-13,"{'website': 'http://www.house.gov/scott', 'description': ""Representative for Virginia's 3rd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'VA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3057, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400364, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 3, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr5350,H.R. 5350,Democrat,"H.R. 5350 (110th): To authorize the Secretary of Commerce to sell or exchange certain National Oceanic and Atmospheric Administration property located in Norfolk, Virginia, and for other purposes."
2007-03-07,"{'website': 'http://markudall.house.gov/HoR/CO02/Home.htm', 'description': ""Representative for Colorado's 2nd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CO', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3507, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400412, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 2, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr49,H.R. 49,Democrat,"H.R. 49 (110th): To designate the facility of the United States Postal Service located at 1300 North Frontage Road West in Vail, Colorado, as the “Gerald R. Ford, Jr. Post Office Building”."
2007-06-18,"{'website': 'http://www.house.gov/boren', 'description': ""Representative for Oklahoma's 2nd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OK', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 5175, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400645, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 2, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr1676,H.R. 1676,Democrat,H.R. 1676 (110th): Native American Home Ownership Opportunity Act of 2007
2007-11-16,"{'website': 'http://www.house.gov/stupak', 'description': ""Representative for Michigan's 1st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MI', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3339, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400391, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 1, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr2602,H.R. 2602,Democrat,"H.R. 2602 (110th): To name the Department of Veterans Affairs medical facility in Iron Mountain, Michigan, as the “Oscar G. Johnson Department of Veterans Affairs Medical Facility”."
2008-10-10,"{'description': 'Senator from Ohio', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class3', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://voinovich.senate.gov/', 'state': 'OH', 'startdate': '2005-01-04', 'title_long': 'Senator', 'senator_class_label': 'Class 3', 'congress_numbers': [109, 110, 111], 'enddate': '2011-01-03', 'person': 300098, 'party': 'Republican', 'id': 4340, 'district': None}",https://www.govtrack.us/congress/bills/110/s2816,S. 2816,Republican,S. 2816 (110th): A bill to provide for the appointment of the Chief Human Capital Officer of the Department of Homeland Security by the Secretary of Homeland Security.
2007-08-09,"{'website': 'http://musgrave.house.gov', 'description': ""Representative for Colorado's 4th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CO', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 2381, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400287, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 4, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr2570,H.R. 2570,Republican,"H.R. 2570 (110th): To designate the facility of the United States Postal Service located at 301 Boardwalk Drive in Fort Collins, Colorado, as the “Dr. Karl E. Carson Post Office Building”."
2007-05-25,"{'website': 'http://calvert.house.gov', 'description': ""Representative for California's 44th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 441, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400057, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 44, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr988,H.R. 988,Republican,"H.R. 988 (110th): To designate the facility of the United States Postal Service located at 5757 Tilton Avenue in Riverside, California, as the “Lieutenant Todd Jason Bryant Post Office”."
2008-05-02,"{'description': 'Senator from Iowa', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class2', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://harkin.senate.gov/', 'state': 'IA', 'startdate': '2003-01-07', 'title_long': 'Senator', 'senator_class_label': 'Class 2', 'congress_numbers': [108, 109, 110], 'enddate': '2009-01-03', 'person': 300051, 'party': 'Democrat', 'id': 4056, 'district': None}",https://www.govtrack.us/congress/bills/110/s2954,S. 2954,Democrat,"S. 2954 (110th): A bill to amend Public Law 110-196 to provide for a temporary extension of programs authorized by the Farm Security and Rural Investment Act of 2002 beyond May 2, 2008."
2007-10-24,"{'website': 'http://www.house.gov/weller', 'description': ""Representative for Illinois's 11th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'IL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3662, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400429, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 11, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr2825,H.R. 2825,Republican,"H.R. 2825 (110th): To designate the facility of the United States Postal Service located at 326 South Main Street in Princeton, Illinois, as the “Owen Lovejoy Princeton Post Office Building”."
2008-07-30,"{'website': 'http://defazio.house.gov', 'description': ""Representative for Oregon's 4th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OR', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 772, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400100, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 4, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr3985,H.R. 3985,Democrat,H.R. 3985 (110th): Over-the-Road Bus Transportation Accessibility Act of 2007
2007-10-09,"{'description': 'Senator from Iowa', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class2', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://harkin.senate.gov/', 'state': 'IA', 'startdate': '2003-01-07', 'title_long': 'Senator', 'senator_class_label': 'Class 2', 'congress_numbers': [108, 109, 110], 'enddate': '2009-01-03', 'person': 300051, 'party': 'Democrat', 'id': 4056, 'district': None}",https://www.govtrack.us/congress/bills/110/s1983,S. 1983,Democrat,S. 1983 (110th): Pesticide Registration Improvement Renewal Act
2007-11-05,"{'website': 'http://boswell.house.gov', 'description': ""Representative for Iowa's 3rd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'IA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 328, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400042, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 3, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr327,H.R. 327,Democrat,H.R. 327 (110th): Joshua Omvig Veterans Suicide Prevention Act
2007-12-26,"{'website': 'http://www.house.gov/baca', 'description': ""Representative for California's 43rd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 70, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400009, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 43, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr3569,H.R. 3569,Democrat,"H.R. 3569 (110th): To designate the facility of the United States Postal Service located at 16731 Santa Ana Avenue in Fontana, California, as the “Beatrice E. Watson Post Office Building”."
2008-04-23,"{'description': 'Senator from Wyoming', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class2', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://enzi.senate.gov', 'state': 'WY', 'startdate': '2003-01-07', 'title_long': 'Senator', 'senator_class_label': 'Class 2', 'congress_numbers': [108, 109, 110], 'enddate': '2009-01-03', 'person': 300041, 'party': 'Republican', 'id': 4009, 'district': None}",https://www.govtrack.us/congress/bills/110/s845,S. 845,Republican,S. 845 (110th): Safety of Seniors Act of 2007
2007-08-09,"{'website': 'http://www.house.gov/westmoreland', 'description': ""Representative for Georgia's 3rd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'GA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 5117, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400627, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 3, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr2309,H.R. 2309,Republican,"H.R. 2309 (110th): To designate the facility of the United States Postal Service located at 3916 Milgen Road in Columbus, Georgia, as the “Frank G. Lumpkin, Jr. Post Office Building”."
2008-08-14,"{'website': 'http://www.house.gov/pallone', 'description': ""Representative for New Jersey's 6th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NJ', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 2576, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400308, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 6, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr6432,H.R. 6432,Democrat,H.R. 6432 (110th): Animal Drug User Fee Amendments of 2008
2007-08-09,"{'website': 'http://wexler.house.gov', 'description': ""Representative for Florida's 19th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'FL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 3668, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400430, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 19, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr1722,H.R. 1722,Democrat,"H.R. 1722 (110th): To designate the facility of the United States Postal Service located at 601 Banyan Trail in Boca Raton, Florida, as the “Leonard W. Herman Post Office”."
2008-07-30,"{'description': 'Senator from California', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class1', 'phone': '202-224-3841', 'senator_rank': None, 'extra': {'office': '331 Hart Senate Office Building', 'contact_form': 'http://www.feinstein.senate.gov/public/index.cfm/e-mail-me', 'fax': '202-228-3954', 'address': '331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510'}, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://feinstein.senate.gov', 'state': 'CA', 'startdate': '2007-01-04', 'title_long': 'Senator', 'senator_class_label': 'Class 1', 'congress_numbers': [110, 111, 112], 'enddate': '2013-01-03', 'person': 300043, 'party': 'Democrat', 'id': 4017, 'district': None}",https://www.govtrack.us/congress/bills/110/s231,S. 231,Democrat,S. 231 (110th): A bill to authorize the Edward Byrne Memorial Justice Assistance Grant Program at fiscal year 2006 levels through 2012.
2008-10-08,"{'description': 'Senator from Ohio', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class3', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': 'http://voinovich.senate.gov/', 'state': 'OH', 'startdate': '2005-01-04', 'title_long': 'Senator', 'senator_class_label': 'Class 3', 'congress_numbers': [109, 110, 111], 'enddate': '2011-01-03', 'person': 300098, 'party': 'Republican', 'id': 4340, 'district': None}",https://www.govtrack.us/congress/bills/110/s496,S. 496,Republican,S. 496 (110th): Appalachian Regional Development Act Amendments of 2008
2007-12-21,"{'website': 'http://www.house.gov/grijalva', 'description': ""Representative for Arizona's 7th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'AZ', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 1317, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400162, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 7, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr3739,H.R. 3739,Democrat,H.R. 3739 (110th): To amend the Arizona Water Settlements Act to modify the requirements for the statement of findings.
2008-10-02,"{'website': 'http://www.house.gov/davis', 'description': ""Representative for Illinois's 7th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'IL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '2007-01-04', 'id': 744, 'congress_numbers': [110], 'title_long': 'Representative', 'enddate': '2009-01-03', 'senator_rank': None, 'person': 400093, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 7, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/110/hr5551,H.R. 5551,Democrat,"H.R. 5551 (110th): To amend title 11, District of Columbia Official Code, to implement the increase provided under the District of Columbia Appropriations Act, 2008, in the amount of funds made available for the compensation of attorneys representing indi"
