current_status_date,sponsor_role,link,display_number,party,title
1978-02-14,"{'website': '', 'description': 'Delegate for the District of Columbia', 'role_type_label': 'Representative', 'current': False, 'state': 'DC', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 15892, 'congress_numbers': [95], 'title_long': 'Delegate', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 404006, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 0, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hjres386,H.J.Res. 386,Democrat,H.J.Res. 386 (95th): Joint resolution to provide for the striking of a national medal to commemorate the bicentennial of an outstanding historic event or personality during 1777.
1977-12-13,"{'website': '', 'description': ""Representative for Illinois's 8th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'IL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 33249, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 409422, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 8, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr8422,H.R. 8422,Democrat,"H.R. 8422 (95th): An Act to amend titles XVIII and XIX of the Social Security Act to provide payment for rural health clinic services, and for other purposes."
1978-11-02,"{'website': '', 'description': ""Representative for California's 6th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 9759, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 402098, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 6, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr1787,H.R. 1787,Democrat,H.R. 1787 (95th): A bill for the relief of Paz A. Norona.
1978-09-30,"{'website': '', 'description': ""Representative for Texas's 6th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'TX', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 37343, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 410692, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 6, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr11401,H.R. 11401,Democrat,H.R. 11401 (95th): National Aeronautics and Space Administration Authorization Act
1978-11-01,"{'website': '', 'description': ""Representative for Kentucky's 7th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'KY', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 30647, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 408633, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 7, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr15,H.R. 15,Democrat,H.R. 15 (95th): Education Amendments
1978-10-07,"{'website': '', 'description': ""Representative for New York's 17th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NY', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 28881, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 408062, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 17, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr10822,H.R. 10822,Democrat,"H.R. 10822 (95th): A bill to improve the operations of the national sea grant program, to authorize appropriations to carry out such program for fiscal years 1979 and 1980, and for other purposes."
1978-11-06,"{'website': '', 'description': ""Representative for California's 10th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 15198, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 403776, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 10, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr8200,H.R. 8200,Democrat,H.R. 8200 (95th): A bill to establish a uniform law on the subject of bankruptcies.
1978-06-05,"{'website': '', 'description': ""Representative for Massachusetts's 5th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 38136, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 410962, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 5, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr11662,H.R. 11662,Democrat,"H.R. 11662 (95th): A bill to provide for the establishment of the Lowell National Historical Park in the Commonwealth of Massachusetts, and for other purposes."
1977-03-18,"{'website': '', 'description': ""Representative for Georgia's 5th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'GA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 41157, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 411962, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 5, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr1746,H.R. 1746,Democrat,H.R. 1746 (95th): A bill to amend the United Nations Participation Act of 1945 to halt the importation of Rhodesian chrome.
1978-04-04,"{'website': '', 'description': ""Representative for Texas's 19th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'TX', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1977-01-04', 'id': 25804, 'congress_numbers': [95], 'title_long': 'Representative', 'enddate': '1979-01-03', 'senator_rank': None, 'person': 407093, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 19, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/95/hr10982,H.R. 10982,Democrat,"H.R. 10982 (95th): A bill to rescind certain budget authority contained in the message of the President of January 27, 1978 (H. Doc. 95-285), transmitted pursuant to the Impoundment Control Act of 1974."
